idQuestionario,idUtente,id_immagine_generata,id_set_domande,domanda1,domanda2,domanda3,domanda4,domanda5,domanda6
1,1,1,1,Generated,Baseline,Generated,Generated,Generated,5 - Molto
2,1,2,1,Generated,Generated,Generated,Generated,Generated,5 - Molto
3,1,3,1,Generated,Generated,Generated,Indifferente,Generated,5 - Molto
4,1,4,1,Indifferente,Generated,Indifferente,Indifferente,Indifferente,5 - Molto
5,2,5,1,Indifferente,Baseline,Baseline,Indifferente,Baseline,4 - Abbastanza
6,2,6,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
7,2,7,1,Generated,Generated,Baseline,Generated,Generated,4 - Abbastanza
8,2,8,1,Generated,Generated,Baseline,Generated,Generated,4 - Abbastanza
9,3,9,1,Indifferente,Baseline,Baseline,Indifferente,Generated,4 - Abbastanza
10,3,10,1,Baseline,Baseline,Generated,Generated,Baseline,5 - Molto
11,3,11,1,Baseline,Baseline,Baseline,Baseline,Generated,4 - Abbastanza
12,3,12,1,Indifferente,Baseline,Baseline,Generated,Generated,5 - Molto
13,4,13,1,Generated,Generated,Baseline,Baseline,Generated,5 - Molto
14,4,14,1,Generated,Generated,Generated,Generated,Generated,5 - Molto
15,4,15,1,Generated,Generated,Baseline,Generated,Generated,5 - Molto
16,4,16,1,Generated,Generated,Baseline,Generated,Indifferente,4 - Abbastanza
17,5,17,1,Baseline,Baseline,Baseline,Baseline,Baseline,4 - Abbastanza
18,5,18,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
19,5,19,1,Baseline,Baseline,Baseline,Baseline,Indifferente,3 - Neutro
20,5,20,1,Generated,Baseline,Generated,Baseline,Generated,3 - Neutro
21,6,21,1,Indifferente,Generated,Indifferente,Baseline,Generated,5 - Molto
22,6,22,1,Generated,Generated,Baseline,Generated,Generated,5 - Molto
23,6,23,1,Generated,Generated,Baseline,Generated,Generated,5 - Molto
24,6,24,1,Baseline,Baseline,Baseline,Generated,Indifferente,4 - Abbastanza
25,7,25,1,Generated,Generated,Baseline,Generated,Baseline,5 - Molto
26,7,26,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
27,7,27,1,Indifferente,Generated,Baseline,Baseline,Indifferente,4 - Abbastanza
28,7,28,1,Generated,Generated,Indifferente,Baseline,Baseline,4 - Abbastanza
29,8,29,1,Baseline,Generated,Baseline,Baseline,Generated,4 - Abbastanza
30,8,30,1,Generated,Baseline,Baseline,Generated,Baseline,4 - Abbastanza
31,8,31,1,Generated,Generated,Baseline,Generated,Generated,4 - Abbastanza
32,8,32,1,Baseline,Generated,Baseline,Generated,Indifferente,5 - Molto
33,9,33,1,Indifferente,Baseline,Baseline,Generated,Generated,5 - Molto
34,9,34,1,Generated,Generated,Baseline,Generated,Generated,4 - Abbastanza
35,9,35,1,Generated,Generated,Generated,Generated,Generated,4 - Abbastanza
36,9,36,1,Baseline,Generated,Baseline,Generated,Generated,5 - Molto
37,10,37,1,Baseline,Baseline,Baseline,Generated,Generated,4 - Abbastanza
38,10,38,1,Generated,Generated,Generated,Generated,Generated,3 - Neutro
39,10,39,1,Indifferente,Generated,Baseline,Generated,Generated,4 - Abbastanza
40,10,40,1,Generated,Generated,Generated,Generated,Indifferente,4 - Abbastanza
41,11,41,1,Baseline,Generated,Baseline,Generated,Generated,4 - Abbastanza
42,11,42,1,Generated,Generated,Generated,Indifferente,Generated,3 - Neutro
43,11,43,1,Generated,Baseline,Baseline,Generated,Indifferente,5 - Molto
44,11,44,1,Generated,Generated,Indifferente,Indifferente,Generated,5 - Molto
45,12,45,1,Baseline,Baseline,Baseline,Generated,Indifferente,4 - Abbastanza
46,12,46,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
47,12,47,1,Baseline,Baseline,Baseline,Baseline,Indifferente,4 - Abbastanza
48,12,48,1,Baseline,Baseline,Baseline,Generated,Indifferente,5 - Molto
49,13,49,1,Baseline,Baseline,Generated,Baseline,Baseline,4 - Abbastanza
50,13,50,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
51,13,51,1,Baseline,Baseline,Baseline,Baseline,Indifferente,5 - Molto
52,13,52,1,Baseline,Baseline,Baseline,Generated,Generated,4 - Abbastanza
53,14,53,1,Generated,Generated,Generated,Generated,Generated,4 - Abbastanza
54,14,54,1,Generated,Indifferente,Baseline,Baseline,Baseline,4 - Abbastanza
55,14,55,1,Indifferente,Generated,Baseline,Generated,Baseline,5 - Molto
56,14,56,1,Generated,Baseline,Indifferente,Baseline,Generated,5 - Molto
57,15,57,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
58,15,58,1,Baseline,Baseline,Baseline,Baseline,Indifferente,5 - Molto
59,15,59,1,Baseline,Baseline,Generated,Baseline,Baseline,4 - Abbastanza
60,15,60,1,Baseline,Generated,Baseline,Generated,Baseline,4 - Abbastanza
61,16,61,1,Baseline,Generated,Baseline,Baseline,Baseline,4 - Abbastanza
62,16,62,1,Baseline,Generated,Baseline,Generated,Indifferente,4 - Abbastanza
63,16,63,1,Baseline,Generated,Baseline,Baseline,Indifferente,4 - Abbastanza
64,16,64,1,Generated,Generated,Baseline,Baseline,Generated,4 - Abbastanza
65,17,65,1,Baseline,Baseline,Baseline,Baseline,Baseline,4 - Abbastanza
66,17,66,1,Baseline,Generated,Baseline,Generated,Indifferente,5 - Molto
67,17,67,1,Baseline,Generated,Baseline,Generated,Indifferente,5 - Molto
68,17,68,1,Indifferente,Generated,Baseline,Generated,Indifferente,4 - Abbastanza
69,18,69,1,Generated,Generated,Baseline,Baseline,Baseline,5 - Molto
70,18,70,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
71,18,71,1,Generated,Generated,Baseline,Generated,Indifferente,5 - Molto
72,18,72,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
73,19,73,1,Baseline,Generated,Baseline,Generated,Baseline,4 - Abbastanza
74,19,74,1,Generated,Generated,Baseline,Generated,Generated,5 - Molto
75,19,75,1,Generated,Generated,Baseline,Baseline,Generated,5 - Molto
76,19,76,1,Generated,Generated,Baseline,Baseline,Generated,4 - Abbastanza
77,20,77,1,Baseline,Baseline,Baseline,Baseline,Baseline,5 - Molto
78,20,78,1,Generated,Generated,Baseline,Generated,Indifferente,5 - Molto
79,20,79,1,Indifferente,Generated,Baseline,Generated,Generated,4 - Abbastanza
80,20,80,1,Indifferente,Generated,Baseline,Generated,Generated,4 - Abbastanza
